target_column,target_data_type,pk_fk,source_file(s),source_column,source_data_type,transformation,notes / business rule
id,STRING (id),PK (order-level when Top Row = 1),1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,ID,id (13-digit),Direct copy; cast STRING; filter Top Row = 1 for order grain.,Shopify order PK. Same ID repeats on line rows — use Top Row = 1 for one row per order.
name,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Name,text,Direct copy; filter Top Row = 1.,"Human-readable order number. Prefix encodes store: LP/LPSG=SG, LPMY=MY, LPHK=HK."
tags,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Tags,text (comma-list),Direct copy; parse for subscription/marketplace signals.,"~38% populated. Key values: Subscription Order, FIRST_ORDER, shopee, lazada."
cancelled_at,DATETIME,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Cancelled At,datetime+tz,Parse datetime; null = not cancelled.,~89% null.
cancel_reason,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Cancel: Reason,text,Direct copy.,Populated only when order cancelled.
processed_at,DATETIME,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Processed At,datetime+tz,Parse UTC; convert to Asia/Singapore; stored as order_date in pipeline.,Payment/process timestamp. Used as order_date (not Created At).
currency,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Currency,text (cat),Direct copy at load; post-FX pipeline sets all rows to SGD.,Raw values: SGD/MYR/HKD. Never sum across currencies before FX conversion.
source,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Source,text (cat),Direct copy; lower-case in finals POS analysis.,"Shopify order source: web, pos, subscription_contract, shopify_draft_order, etc. POS = on-site."
checkout_id,STRING (id),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Checkout ID,id (13-digit),Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level attribute only (Top Row = 1). ~65% null. No FK — no checkout table in project.
weight_total,INT,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Weight Total,int,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~82% null in combined export. Included in STTM for completeness (may be empty).
price_total_line_items,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Total Line Items,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~82% null in combined export. Included in STTM for completeness (may be empty).
price_current_subtotal,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Current Subtotal,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~82% null in combined export. Included in STTM for completeness (may be empty).
price_subtotal,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Subtotal,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~82% null in combined export. Included in STTM for completeness (may be empty).
price_total_discount,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Total Discount,decimal,Numeric cast; fill null->0; multiply by FX rate.,Order-level discount amount. Used for discount depth analysis.
price_current_total_shipping,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Current Total Shipping,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~82% null in combined export. Included in STTM for completeness (may be empty).
price_total_shipping,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Total Shipping,decimal,Numeric cast; fill null->0; multiply by FX rate.,Shipping charged on order.
price_total_refund,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Total Refund,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~100% null in combined export. Included in STTM for completeness (may be empty).
price_current_total,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Current Total,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~82% null in combined export. Included in STTM for completeness (may be empty).
price_total,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Price: Total,decimal,Numeric cast; multiply by FX_RATES_TO_SGD[store] in 01_load_and_merge.py.,Net order revenue. Loaded to orders.parquet as Price: Total (SGD).
payment_status,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Payment: Status,text (cat),Direct copy; pipeline keeps paid and partially_refunded only.,Exclude unpaid/cancelled before payment.
order_fulfillment_status,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Order Fulfillment Status,text (cat),Direct copy; pipeline excludes restocked.,Fulfillment state. restocked rows removed in 01_load_and_merge.py.
purchase_order_number,DECIMAL,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Purchase Order Number,decimal,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~100% null in combined export. Included in STTM for completeness (may be empty).
customer_id,STRING (id),FK -> customer,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Customer: ID,id (13-digit),Direct copy; cast STRING; drop null customer_id in pipeline.,Links to customer entity. Required for all analytical joins.
customer_tags,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Customer: Tags,text (comma-list),Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~9% null in combined export. Included in STTM for completeness (may be empty).
customer_email_marketing_status,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Customer: Email Marketing Status,text,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~9% null in combined export. Included in STTM for completeness (may be empty).
customer_sms_marketing_status,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Customer: SMS Marketing Status,text,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~67% null in combined export. Included in STTM for completeness (may be empty).
shipping_zip,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Shipping: Zip,text,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~5% null in combined export. Included in STTM for completeness (may be empty).
shipping_city,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Shipping: City,text,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). Mostly populated in combined export. Included in STTM for completeness (may be empty).
shipping_province,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Shipping: Province,text,Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~74% null in combined export. Included in STTM for completeness (may be empty).
shipping_province_code,STRING (cat),,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Shipping: Province Code,text (cat),Direct copy to combined export; not loaded to analytical parquet in current pipeline.,order-level (Top Row = 1). ~75% null in combined export. Included in STTM for completeness (may be empty).
shipping_country,STRING,,1.customer_transaction/1_*.orders-YYYY_20260505.xlsx,Shipping: Country,text,Direct copy.,"Top countries: Malaysia ~52%, Singapore ~41%."
